,年別,Year,108,108,總計
洲別,月份,Month,1,2,
亞洲,日本,Japan,396212,406010,802222
亞洲,韓國,Korea,85314,93198,178512
亞洲,北韓,Democratic People's Republic of Korea,0,0,0
亞洲,香港,Hong Kong,146049,179873,325922
亞洲,中國大陸,Mainland China,266973,343778,610751
亞洲,澳門,Macao,44604,52608,97212
亞洲,蒙古,Mongolia,0,0,0
亞洲,越南,Vietnam,58860,69528,128388
亞洲,泰國,Thailand,65543,74366,139909
亞洲,馬來西亞,Malaysia,26168,31431,57599
亞洲,新加坡,Singapore,36829,40795,77624
亞洲,菲律賓,Philippines,22129,29919,52048
亞洲,汶萊,Brunei,397,556,953
亞洲,印尼,Indonesia,13804,15949,29753
亞洲,柬埔寨,Cambodia,7315,9042,16357
亞洲,寮國,Laos,0,0,0
亞洲,帝汶,Timor,0,0,0
亞洲,緬甸,Myanmar,2601,2431,5032
亞洲,索羅門群島,Solomon Islands,2,0,2
亞洲,吐瓦魯,Tuvalu,0,0,0
亞洲,印度,India,1227,1441,2668
亞洲,巴基斯坦,Pakistan,0,0,0
亞洲,斯里蘭卡,Sri Lanka,0,3,3
亞洲,孟加拉,Bangladesh,1,0,1
亞洲,尼泊爾,Nepal,0,0,0
亞洲,不丹,Bhutan,0,78,78
亞洲,馬爾地夫,Maldives,0,1,1
亞洲,塞席爾,Seychelles,0,0,0
亞洲,吉里巴斯,Kiribati,0,0,0
亞洲,伊朗,Iran,4,0,4
亞洲,伊拉克,Iraq,0,0,0
亞洲,巴林,Bahrain,1,0,1
亞洲,南葉門,South Yemen,0,0,0
亞洲,沙烏地阿拉伯,Saudi Arabia,0,0,0
亞洲,科威特,Kuwait,1,0,1
亞洲,卡達,Qatar,1,0,1
亞洲,阿曼,Oman,0,0,0
亞洲,以色列,Israel,41,67,108
亞洲,約旦,Jordan,13,29,42
亞洲,敘利亞,Syria,0,0,0
亞洲,黎巴嫩,Lebanon,129,107,236
亞洲,阿拉伯聯合大公國,United Arab Emirates,10746,10345,21091
亞洲,葉門,Yemen,0,0,0
亞洲,土耳其,TURKEY,6658,6456,13114
亞洲,賽普勒斯,Cyprus,0,0,0
亞洲,阿富汗(觀光),Afghanistan,0,0,0
非洲,埃及,Egypt,1,0,1
非洲,摩洛哥,Morocco,2,0,2
非洲,阿爾及利亞,Algeria,0,0,0
非洲,突尼西亞,Tunisia,0,1,1
非洲,利比亞,"Libya
",0,0,0
非洲,蘇丹,Sudan,0,0,0
非洲,索馬利亞,Somalia,0,0,0
非洲,南非,S. Africa,0,0,0
非洲,象牙海岸,Cote D'ivoire,0,0,0
非洲,奈及利亞,Nigeria,0,0,0
非洲,賴比瑞亞,Liberia,0,0,0
